Text,Label
orang ini mengeluhkan kaki pegal setelah berdiri lama di acara pernikahan,Low
ada yang merasa gatalgatal setelah menggunakan sabun baru,Low
seorang anak mengeluhkan sakit ringan di leher karena posisi tidur yang salah,Low
orang ini merasa pusing setelah membaca buku dalam waktu lama,Low
ada seorang pria yang mengeluhkan nyeri ringan di lutut setelah jogging,Low
seorang wanita mengeluh bibir pecahpecah karena kurang minum,Low
orang ini merasa capek setelah bekerja lembur beberapa hari berturutturut,Low
orang ini terkena ledakan gas kondisinya sangat kritis dan perlu bantuan segera,High
ada kecelakaan kereta api dengan banyak korban terluka parah,High
seseorang terjebak di bawah reruntuhan akibat gempa bumi segera kirim ambulans,High
orang ini tidak sadar setelah kecelakaan bersepeda di jalan gunung,High
ada kebakaran besar di pasar banyak orang terluka karena asap tebal,High
korban tenggelam di laut ditemukan dalam kondisi tidak bernapas,High
sebuah bus jatuh ke jurang dengan banyak penumpang terluka parah,High
ada insiden penyerangan dengan senjata tajam di acara umum korban kehilangan banyak darah,High
orang ini mengeluhkan nyeri di dada tetapi masih bisa bernapas dengan normal,Medium
seorang anak terjatuh dari ayunan dan mengalami luka kecil di dagunya,Medium
orang ini mengalami alergi makanan ringan dengan pembengkakan di wajah,Medium
seorang pria mengalami luka di kaki setelah terpeleset di tangga basah,Medium
ada seorang wanita yang mengalami migrain hebat tidak bisa fokus,Medium
orang ini merasa sangat pusing setelah mengonsumsi obat tertentu,Medium
seorang anak mengalami luka gores kecil di pipi akibat jatuh dari sepeda,Medium
orang ini mengeluhkan rasa panas di kulit setelah terkena sinar matahari terlalu lama,Medium
saya merasa lemas setelah bekerja terlalu lama tanpa istirahat,Low
orang ini mengeluhkan sakit ringan di punggung setelah duduk lama,Low
ada seorang pria yang merasa nyeri ringan di bahu setelah olahraga angkat beban,Low
orang ini merasa gatal ringan di tangan akibat menggunakan sarung tangan baru,Low
seorang anak mengeluh tidak nyaman di perut setelah makan permen terlalu banyak,Low
orang ini merasa pusing ringan setelah berdiri terlalu cepat,Low
ada seorang wanita yang mengeluhkan mata kering karena terlalu lama menatap layar komputer,Low
seorang pria mengeluhkan pegal di kaki setelah berjalan jauh untuk bekerja,Low
ada kecelakaan pesawat kecil di dekat pemukiman beberapa orang terluka parah,High
orang ini tersambar api saat memasak tubuhnya mengalami luka bakar berat,High
seseorang tertabrak kereta di stasiun kondisinya sangat kritis,High
ada kecelakaan truk besar di perempatan banyak kendaraan lain terlibat,High
orang ini ditemukan tidak sadarkan diri di kamar mandi kemungkinan serangan jantung,High
seorang pria terluka parah akibat tertimpa tembok yang roboh,High
ada kebakaran besar di gedung perkantoran banyak korban mengalami luka bakar serius,High
orang ini mengalami kecelakaan parah saat menggunakan alat berat segera kirim ambulans,High
seorang wanita hamil mengeluh sakit yang intens di punggung bawah,Medium
orang ini terkilir pergelangan tangan setelah jatuh dari kursi,Medium
ada seorang anak yang demam tinggi selama dua hari terakhir masih sadar,Medium
orang ini terluka ringan di lutut akibat terjatuh saat berlari di taman,Medium
seorang pria mengalami sesak napas ringan setelah terpapar asap rokok,Medium
orang ini merasa nyeri di leher akibat salah posisi saat tidur,Medium
seorang anak mengalami gigitan serangga dengan pembengkakan kecil di lengan,Medium
orang ini tergores logam tapi lukanya dangkal dan tidak terlalu parah,Medium
saya merasa tidak nyaman di kaki setelah memakai sepatu baru yang terlalu sempit,Low
orang ini mengeluhkan leher kaku setelah bekerja di meja sepanjang hari,Low
ada seorang pria yang merasa nyeri ringan di jari karena terjepit pintu,Low
orang ini merasa lapar terusmenerus meskipun sudah makan,Low
seorang anak mengeluhkan tenggorokan gatal setelah makan makanan pedas,Low
orang ini merasa kedinginan tetapi tidak menunjukkan tanda demam,Low
ada seorang wanita yang merasa sulit fokus karena kurang tidur semalam,Low
orang ini merasa matanya lelah setelah membaca terlalu lama di pencahayaan redup,Low
ada insiden penusukan di pasar malam korban kehilangan banyak darah,High
seorang bayi ditemukan tidak bernapas segera kirim ambulans,High
kecelakaan truk tangki bahan bakar menyebabkan ledakan besar banyak korban luka,High
seorang pekerja jatuh ke lubang dalam di lokasi konstruksi kondisinya sangat kritis,High
ada tabrakan frontal dua kendaraan di jalan tol korban luka serius,High
orang ini ditemukan tidak sadar di taman kemungkinan serangan epilepsi,High
sebuah perahu terbalik di sungai banyak penumpang terjebak di bawah air,High
ada kebakaran di panti jompo banyak penghuni mengalami sesak napas serius,High
seorang anak terkilir pergelangan kaki saat bermain sepak bola,Medium
orang ini mengalami luka ringan akibat tertimpa rak buku kecil,Medium
ada seorang wanita dengan keluhan nyeri dada ringan setelah berjalan jauh,Medium
orang ini terkena sengatan lebah dan mengalami pembengkakan di tangan,Medium
seorang pria mengeluh sakit kepala hebat setelah duduk di depan komputer seharian,Medium
orang ini merasa sakit di pergelangan kaki setelah jatuh kecil dari tangga,Medium
seorang anak menderita gatal di kulit setelah berenang di kolam umum,Medium
orang ini terluka ringan saat memotong buah lukanya tidak dalam,Medium
saya merasa gatal ringan di kaki setelah terkena tanaman liar,Low
orang ini mengeluhkan rasa lelah setelah berolahraga terlalu lama,Low
ada seorang anak yang mengeluh pusing ringan setelah bermain di bawah terik matahari,Low
orang ini merasa tidak nyaman di punggung setelah duduk di kursi keras,Low
seorang pria merasa haus dan pusing ringan setelah tidak minum cukup air seharian,Low
orang ini merasa pergelangan tangannya pegal setelah menggunakan ponsel sepanjang hari,Low
ada seorang wanita yang merasa sedikit mual setelah makan terlalu cepat,Low
orang ini merasa matanya gatal mungkin akibat debu atau alergi ringan,Low
ada seorang pria yang tertembak di tengah keramaian kondisinya kritis,High
korban kecelakaan dengan luka parah di kepala ditemukan di pinggir jalan,High
ledakan di gudang bahan kimia menyebabkan luka bakar serius pada beberapa orang,High
orang ini ditemukan tidak sadarkan diri setelah jatuh dari tangga panjang,High
ada kebakaran di rumah sakit banyak pasien terjebak di dalam,High
orang ini mengalami serangan asma berat dan tidak bisa bernapas dengan baik,High
seorang pengendara sepeda motor terluka parah akibat tabrakan dengan mobil,High
ada insiden kebocoran gas di apartemen beberapa orang kehilangan kesadaran,High
orang ini mengalami luka ringan akibat terjatuh di eskalator,Medium
seorang anak terluka di dagu setelah terpeleset di kamar mandi,Medium
orang ini mengalami demam tinggi dan menggigil sejak semalam,Medium
ada seorang pria dengan luka kecil di tangan akibat tertusuk jarum,Medium
orang ini mengeluhkan nyeri ringan di pergelangan kaki setelah olahraga,Medium
seorang wanita mengalami kram perut parah selama beberapa jam terakhir,Medium
orang ini merasa sakit kepala berat setelah terpapar sinar matahari lama,Medium
seorang anak mengalami bengkak kecil di wajah setelah terbentur meja,Medium
saya merasa nyeri ringan di bahu setelah tidur dalam posisi yang salah,Low
orang ini mengeluhkan mata gatal setelah terkena angin kencang,Low
ada seorang pria yang merasa sedikit pusing setelah tidak makan seharian,Low
orang ini merasa tidak nyaman di punggung setelah mengangkat barang berat,Low
seorang wanita mengeluh perut kembung setelah makan makanan berminyak,Low
orang ini merasa pegal ringan di kaki setelah berdiri lama di antrean,Low
ada seorang anak yang merasa tenggorokan gatal setelah mencoba makanan baru,Low
orang ini merasa sedikit capek setelah menghabiskan hari berjalan di taman,Low
seorang pria ditemukan tidak sadarkan diri di kolam renang umum segera kirim bantuan,High
ada kecelakaan kereta cepat dengan banyak penumpang terluka parah,High
orang ini terjebak di bawah mobil setelah kecelakaan kondisinya kritis,High
ledakan tabung gas di dapur menyebabkan luka bakar berat pada seorang wanita,High
ada kebakaran di hotel besar banyak tamu tidak bisa keluar dengan aman,High
seorang pria terluka akibat jatuh dari tebing tinggi saat mendaki,High
orang ini mengalami serangan epilepsi mendadak di tengah jalan raya,High
tabrakan kapal di pelabuhan menyebabkan banyak korban terjatuh ke laut,High
seorang anak mengalami bengkak di pergelangan kaki setelah jatuh dari sepeda,Medium
orang ini mengeluhkan sakit perut parah kemungkinan keracunan makanan,Medium
ada seorang pria yang mengalami cedera ringan di tangan akibat tertimpa benda kecil,Medium
orang ini merasa nyeri di bahu setelah latihan angkat beban yang intens,Medium
seorang wanita mengeluhkan sakit kepala intens setelah perjalanan panjang,Medium
orang ini merasa pusing berat setelah berdiri terlalu cepat masih sadar,Medium
seorang anak mengalami ruam kulit akibat alergi terhadap serbuk sari,Medium
orang ini mengalami luka kecil di lutut setelah terpeleset di kamar mandi,Medium
saya merasa lelah setelah bekerja berjamjam tanpa istirahat,Low
orang ini mengeluhkan kram ringan di tangan akibat mengetik terlalu lama,Low
ada seorang pria yang merasa sedikit gatal di kulit setelah berenang,Low
orang ini merasa tidak nyaman di mata setelah menggunakan lensa kontak terlalu lama,Low
seorang anak merasa sedikit tidak enak badan setelah bermain di luar seharian,Low
orang ini merasa nyeri ringan di pergelangan kaki akibat sepatu yang terlalu sempit,Low
ada seorang wanita yang merasa sakit ringan di punggung setelah mengangkat barang,Low
orang ini merasa tenggorokannya kering setelah berbicara dalam waktu lama,Low
seorang bayi jatuh dari tempat tidur dan tidak merespons segera kirim ambulans,High
ada kecelakaan bus dengan banyak penumpang terlempar keluar kondisinya parah,High
orang ini ditemukan tidak bernapas setelah tersengat listrik di rumah,High
ledakan besar di gedung apartemen menyebabkan luka serius pada banyak penghuni,High
seseorang terjebak di dalam mobil yang terbakar setelah tabrakan parah,High
orang ini mengalami serangan jantung mendadak di tempat kerja,High
kecelakaan pesawat kecil di lapangan menyebabkan luka bakar berat pada beberapa orang,High
ada kebakaran besar di pasar tradisional korban mengalami sesak napas parah,High
seorang wanita mengalami luka gores di tangan akibat pecahan kaca,Medium
orang ini mengeluhkan nyeri di punggung bawah setelah mengangkat barang berat,Medium
ada seorang pria dengan demam tinggi selama dua hari terakhir tidak ada gejala lainnya,Medium
orang ini terluka ringan di lutut akibat terjatuh saat bermain bola,Medium
seorang anak mengalami luka kecil di tangan akibat tersandung saat berlari,Medium
orang ini merasa sakit kepala yang intens setelah bekerja tanpa istirahat,Medium
seorang pria merasa nyeri ringan di dada setelah melakukan latihan fisik berat,Medium
orang ini merasa pusing setelah minum kopi dalam jumlah besar,Medium
saya merasa nyeri ringan di jari setelah menulis dengan pena terlalu lama,Low
orang ini mengeluhkan kelelahan setelah seharian berjalanjalan di taman,Low
ada seorang wanita yang merasa sedikit pusing setelah berdiri lama di kereta,Low
orang ini merasa gatal ringan di kulit akibat mencoba sabun baru,Low
seorang anak jatuh saat bermain dan mengalami luka kecil dilututnya,Low
orang ini merasa lelah dan pegal di kaki setelah bekerja seharian di dapur,Low
ada seorang pria yang merasa sedikit mual setelah makan terlalu cepat,Low
orang ini mengeluh matanya terasa panas setelah menatap layar komputer terlalu lama,Low
ada korban tabrakan di jalan tol kondisinya sangat parah dengan banyak pendarahan,High
orang ini ditemukan tidak sadar setelah kebakaran besar di gudang pabrik,High
sebuah perahu nelayan terbalik di tengah laut beberapa orang belum ditemukan,High
ada insiden penembakan di pusat perbelanjaan banyak korban membutuhkan bantuan segera,High
orang ini terjebak dalam reruntuhan setelah longsor besar di desa terpencil,High
ledakan di stasiun pengisian bahan bakar menyebabkan luka bakar parah pada pekerja,High
kecelakaan kendaraan roda empat dengan korban terluka berat di kepala,High
orang ini tersambar petir saat mendaki gunung kondisinya kritis,High
seorang wanita mengeluhkan nyeri perut hebat setelah makan makanan pedas,Medium
orang ini mengalami luka lecet di lengan akibat terjatuh dari tangga kecil,Medium
seorang anak demam tinggi selama tiga hari suhu tubuh mencapai 39 derajat,Medium
orang ini merasa nyeri di bahu setelah terlalu banyak mengangkat barang berat,Medium
ada seorang pria yang pusing berat setelah terpapar panas matahari selama beberapa jam,Medium
seorang anak mengeluhkan sakit ringan di pergelangan tangan akibat terpeleset di taman,Medium
orang ini merasa sesak napas ringan setelah terpapar asap kendaraan,Medium
ada seorang pria yang mengalami kram otot hebat setelah bermain olahraga intens,Medium
saya merasa lelah setelah mengikuti rapat panjang tanpa istirahat,Low
orang ini mengeluhkan pegal ringan di kaki setelah berdiri lama di acara pernikahan,Low
ada seorang wanita yang merasa sedikit mual setelah mencoba makanan baru,Low
orang ini merasa tenggorokannya kering setelah bernyanyi selama berjamjam,Low
seorang anak merasa gatal ringan di leher setelah bermain di kebun,Low
orang ini merasa capek dan lelah setelah melakukan perjalanan jauh dengan kereta,Low
ada seorang pria yang mengeluhkan mata merah akibat terkena debu saat berkendara,Low
orang ini merasa sakit ringan di punggung setelah duduk di kursi yang tidak nyaman,Low
korban terjebak di dalam mobil yang tenggelam situasi sangat kritis,High
ada tabrakan antara truk dan bus di jalan raya banyak korban dengan luka berat,High
orang ini ditemukan tidak bernapas setelah terjatuh dari balkon apartemen,High
ledakan bahan kimia di laboratorium menyebabkan luka bakar serius pada beberapa pekerja,High
seorang bayi tidak merespons setelah tersedak makanan segera kirim bantuan,High
kecelakaan pesawat kecil di lapangan golf menyebabkan korban luka parah,High
ada kebakaran di pusat perbelanjaan besar beberapa korban mengalami luka serius,High
seorang pria tertusuk benda tajam saat bekerja di lokasi konstruksi,High
orang ini merasa sakit ringan di lutut setelah bermain sepak bola di lapangan keras,Medium
seorang wanita mengeluhkan nyeri kepala parah setelah menatap layar laptop terlalu lama,Medium
orang ini mengalami luka kecil di jari akibat tertimpa benda logam kecil,Medium
seorang anak mengalami bengkak di pergelangan tangan setelah jatuh dari ayunan,Medium
orang ini merasa pusing berat setelah melakukan olahraga dengan intensitas tinggi,Medium
seorang pria mengeluhkan kram di otot kaki setelah bekerja di luar ruangan sepanjang hari,Medium
orang ini merasa nyeri ringan di pergelangan tangan akibat bekerja terlalu lama di komputer,Medium
seorang anak mengeluh tenggorokan terasa sakit setelah minum air dingin,Medium
saya merasa sedikit tidak enak badan setelah makan terlalu cepat,Low
orang ini merasa capek setelah perjalanan panjang menggunakan bus,Low
ada seorang wanita yang mengeluhkan kulit kering setelah menghabiskan waktu di ruangan berac,Low
orang ini merasa tenggorokannya gatal setelah makan makanan pedas,Low
seorang pria merasa sedikit pegal di punggung setelah seharian memindahkan barang,Low
orang ini merasa matanya lelah setelah membaca buku selama beberapa jam,Low
seorang anak mengeluhkan rasa gatal ringan di kaki setelah bermain di pasir pantai,Low
orang ini merasa kedinginan meskipun suhu tubuhnya normal,Low
seorang pria ditemukan tidak sadar di ruang bawah tanah setelah kebakaran besar,High
ada kecelakaan di jembatan gantung dengan banyak korban terjatuh ke sungai,High
korban kecelakaan motor ditemukan dalam kondisi kritis dengan banyak luka terbuka,High
ledakan gas di apartemen menyebabkan luka bakar pada beberapa penghuni situasi sangat serius,High
seorang anak tersedak mainan kecil dan tidak bisa bernapas segera kirim ambulans,High
ada kebakaran besar di kapal ferry dengan banyak penumpang terluka,High
orang ini mengalami serangan stroke mendadak di kantor kondisinya memburuk dengan cepat,High
korban longsor ditemukan di bawah reruntuhan butuh bantuan segera,High
orang ini mengalami luka ringan di dahi setelah terpeleset di kamar mandi,Medium
seorang anak mengalami cedera pergelangan kaki saat melompat dari tempat tidur,Medium
orang ini mengeluhkan nyeri di bagian bawah punggung setelah bekerja seharian,Medium
seorang pria merasa pusing berat setelah bermain di bawah terik matahari terlalu lama,Medium
orang ini mengalami alergi ringan dengan ruam di tangan setelah menggunakan sarung tangan baru,Medium
seorang anak mengeluhkan gatalgatal di kulit setelah bermain di taman yang kotor,Medium
orang ini mengalami sesak napas ringan setelah menghirup asap kendaraan di jalan raya,Medium
seorang wanita mengalami nyeri otot ringan setelah mengikuti kelas olahraga intensif,Medium
saya merasa sedikit tidak nyaman di punggung setelah tidur di sofa semalam,Low
orang ini merasa kram ringan di tangan setelah menulis terlalu lama,Low
ada seorang pria yang merasa matanya gatal setelah terkena angin kencang,Low
orang ini merasa lelah setelah seharian berdiri di acara pameran,Low
seorang wanita mengeluhkan nyeri ringan di pergelangan kaki setelah menggunakan sepatu baru,Low
orang ini merasa mual ringan setelah makan makanan berminyak di restoran,Low
seorang anak merasa khawatir setelah menerima rapor,Low
orang ini merasa nyeri ringan di bahu setelah membawa tas yang berat sepanjang hari,Low
seorang pria tertimpa balok berat di lokasi konstruksi segera kirim ambulans,High
ada kecelakaan truk pengangkut bahan kimia korban mengalami luka bakar serius,High
seorang anak tidak sadarkan diri setelah terjatuh ke kolam dalam segera lakukan evakuasi,High
ledakan di tambang menyebabkan banyak pekerja terluka dan terjebak,High
orang ini mengalami cedera kepala serius setelah kecelakaan di taman bermain,High
korban ditemukan dengan luka tembak di dada situasi kritis,High
ada insiden kebakaran di gedung apartemen penghuni terjebak di lantai atas,High
seorang pengendara sepeda motor terluka parah setelah tabrakan dengan mobil besar,High
seorang wanita mengeluhkan sakit kepala berat setelah duduk di ruangan panas terlalu lama,Medium
orang ini terluka ringan di jari setelah mencoba membuka kaleng dengan pisau,Medium
seorang anak terjatuh dari sepeda dengan kecepatan sedang menyebabkan luka di siku,Medium
orang ini merasa nyeri di punggung bawah setelah mencoba mengangkat benda berat,Medium
seorang pria merasa pusing ringan setelah berdiri terlalu lama di antrean panjang,Medium
orang ini mengalami cedera ringan di lutut akibat jatuh kecil di tangga rumah,Medium
seorang wanita mengeluhkan rasa panas di kulit akibat terkena sinar matahari langsung,Medium
orang ini mengalami nyeri ringan di tangan setelah olahraga intensif di gym,Medium
saya merasa sedikit pusing setelah seharian bekerja di depan komputer,Low
orang ini merasa pegal ringan di kaki setelah berjalanjalan di taman seharian,Low
seorang pria mengeluhkan kulit kering setelah menggunakan sabun baru,Low
orang ini merasa sedikit mual setelah minum minuman bersoda terlalu cepat,Low
seorang anak merasa tenggorokannya gatal setelah makan makanan asin,Low
orang ini merasa nyeri ringan di bahu setelah membawa tas ransel berat sepanjang hari,Low
seorang wanita merasa matanya kering setelah seharian menggunakan lensa kontak,Low
orang ini merasa sedikit tidak nyaman di punggung setelah duduk lama tanpa bergerak,Low
korban kecelakaan kendaraan roda empat ditemukan dengan luka serius di kepala,High
seorang pekerja tertimpa pipa besar di lokasi proyek kondisinya kritis,High
ada kecelakaan kapal pesiar dengan banyak korban luka akibat terlempar dari dek,High
orang ini mengalami serangan jantung mendadak saat sedang makan di restoran,High
ledakan tabung gas di dapur rumah menyebabkan luka bakar parah pada penghuni,High
korban tertimpa reruntuhan akibat gempa bumi beberapa orang masih terjebak,High
ada insiden tabrakan kereta api dengan kendaraan roda empat di perlintasan,High
orang ini mengalami kejang mendadak di tempat kerja segera kirim ambulans,High
seorang wanita mengeluhkan sakit punggung setelah berdiri terlalu lama di dapur,Medium
orang ini merasa pusing berat setelah duduk di ruang pengap selama berjamjam,Medium
seorang anak terluka ringan di lengan akibat terpeleset di taman bermain,Medium
orang ini mengeluhkan nyeri ringan di bagian perut setelah makan pedas,Medium
seorang pria merasa mual setelah berolahraga dalam cuaca panas,Medium
orang ini terluka kecil di lutut setelah terjatuh dari sepeda di jalan licin,Medium
seorang wanita merasa nyeri ringan di tangan akibat mencoba membuka botol yang keras,Medium
orang ini mengeluhkan rasa sakit ringan di bahu setelah bermain olahraga raket,Medium
saya merasa sedikit tidak nyaman di punggung setelah tidur tanpa bantal,Low
setelah seharian di pusat perbelanjaan orang ini merasa sangat kelelahan dan kesulitan bergerak,Medium
seorang pria mengeluhkan nyeri ringan di jari akibat mengetik sepanjang hari,Low
orang ini merasa sedikit tidak enak badan setelah makan terlalu banyak makanan manis,Low
seorang anak tertelan kelereng dan merasa tidak nyaman,Medium
orang ini merasa matanya lelah setelah menatap layar komputer tanpa jeda,Low
seorang wanita merasa kedinginan setelah terkena hujan deras tanpa mantel,Low
orang ini merasa sedikit tidak nyaman di kaki akibat memakai sepatu baru,Low
ada insiden tabrakan pesawat kecil di lapangan terbuka korban terluka parah,High
seorang pekerja terluka parah setelah terjatuh dari ketinggian di lokasi konstruksi,High
ledakan besar di pabrik pengolahan menyebabkan banyak korban luka bakar serius,High
korban kecelakaan motor ditemukan dengan pendarahan hebat di jalan raya,High
seorang bayi tersedak makanan dan tidak bernapas segera lakukan tindakan darurat,High
ada insiden kebakaran di sekolah dasar beberapa siswa terjebak di dalam,High
orang ini mengalami kejangkejang di tengah keramaian situasi sangat mendesak,High
korban tertimpa bangunan runtuh akibat badai besar kondisinya sangat kritis,High
seorang wanita merasa sakit ringan di pergelangan kaki setelah terjatuh di taman,Medium
orang ini mengalami pusing berat setelah berdiri terlalu cepat dari posisi duduk,Medium
seorang anak mengalami ruam merah di kulit setelah bermain di taman yang kotor,Medium
orang ini mengeluhkan nyeri ringan di bahu setelah bermain olahraga basket,Medium
seorang pria merasa sedikit mual setelah makan makanan pedas di restoran,Medium
orang ini terluka ringan di jari akibat mencoba membuka kaleng yang keras,Medium
seorang wanita mengalami sakit kepala setelah terlalu lama berada di tempat bising,Medium
orang ini merasa nyeri di bagian bawah punggung setelah mengangkat benda berat,Medium
saya merasa sedikit tidak nyaman di tenggorokan setelah minum air dingin,Low
orang ini merasa capek setelah mengikuti perjalanan wisata seharian penuh,Low
seorang pria mengeluhkan kulitnya kering setelah seharian berada di bawah sinar matahari,Low
orang ini merasa sedikit pegal di punggung setelah duduk di kursi tanpa sandaran,Low
seorang anak merasa matanya gatal setelah terkena debu di lapangan,Low
orang ini merasa sedikit nyeri di pergelangan kaki setelah berjalan jauh dengan sepatu baru,Low
seorang wanita merasa pusing ringan setelah bekerja seharian tanpa istirahat,Low
orang ini merasa sedikit mual setelah mencoba makanan baru yang terlalu berminyak,Low
ada kebakaran besar di gedung tinggi banyak penghuni terjebak di lantai atas,High
korban kecelakaan kendaraan ditemukan dengan pendarahan hebat dan tidak sadar,High
ledakan di kilang minyak menyebabkan luka bakar serius pada beberapa pekerja,High
orang ini mengalami cedera kepala berat setelah tabrakan di jalan tol,High
seorang bayi tidak bernapas setelah tersedak susu segera kirim ambulans,High
ada insiden kebakaran besar di pasar malam korban membutuhkan bantuan segera,High
orang ini tersengat listrik dan tidak bergerak segera lakukan tindakan darurat,High
korban longsor ditemukan di bawah tumpukan tanah dengan kondisi kritis,High
seorang anak terjatuh dari tangga kecil dan mengalami nyeri di pergelangan tangan,Medium
orang ini mengalami pusing berat setelah berada di ruangan yang panas terlalu lama,Medium
seorang wanita mengeluhkan sakit kepala hebat setelah menatap layar ponsel sepanjang hari,Medium
orang ini mengalami luka kecil di jari akibat tertimpa benda logam ringan,Medium
seorang pria merasa sedikit mual setelah makan makanan berminyak berlebihan,Medium
